row,tau_enter,tau_exit,mean_progress_m,median_progress_m,mean_ratio_vs_cls,median_ratio_vs_cls,worse_pct,mean_switches,zero_sw_pct,started_in_cls_pct,term_cone_pct,term_jl_pct,term_lateral_pct,term_collision_pct,term_truncated_pct,term_alive_pct
varB_te=0.99_tx=0.99,0.99,0.99,0.4300,0.3700,1.3226,1.1081,18.80,0.669,71.70,4.94,65.73,21.17,10.75,2.35,0.00,0.00
varB_te=0.99_tx=0.95,0.99,0.95,0.4295,0.3700,1.3180,1.1000,17.39,0.294,74.12,4.94,66.99,20.02,10.71,2.28,0.00,0.00
varB_te=0.99_tx=0.90,0.99,0.9,0.4268,0.3700,1.3100,1.0934,17.26,0.261,75.31,4.94,67.25,19.81,10.68,2.26,0.00,0.00
varB_te=0.98_tx=0.98,0.98,0.98,0.4353,0.3800,1.3332,1.1087,16.36,0.937,64.11,9.91,68.36,18.50,10.88,2.26,0.00,0.00
varB_te=0.98_tx=0.94,0.98,0.94,0.4288,0.3700,1.3105,1.0909,15.42,0.357,68.48,9.91,69.00,18.08,10.78,2.14,0.00,0.00
varB_te=0.98_tx=0.89,0.98,0.89,0.4255,0.3600,1.3007,1.0833,15.21,0.311,70.57,9.91,69.25,17.93,10.72,2.10,0.00,0.00
