iter,buffer_size,mean_R,mean_len,mean_T,success_rate,q_loss,pi_loss,alpha,entropy,wall,reasons
1,1152,0.4012012367668862,45.97916793823242,134.3125,0.1875,0.16736285388469696,-0.5330164432525635,0.04998500645160675,1.2333464622497559,25.570774793624878,joint_limit:37|pos_err_exceeded:35|max_steps:18|self_collision:5
10,2016,0.44225144382118137,50.10416793823242,131.82291666666666,0.17708333333333334,0.1400218904018402,-0.5358662605285645,0.04984937980771065,2.179938316345215,44.4508855342865,joint_limit:34|pos_err_exceeded:32|max_steps:17|self_collision:10
20,2976,0.3288632837636423,39.17708206176758,139.38541666666666,0.13541666666666666,0.12151400744915009,-0.44397515058517456,0.049695633351802826,2.409471273422241,65.2036669254303,pos_err_exceeded:33|joint_limit:31|self_collision:17|max_steps:13
30,3936,0.4344482402630912,49.47916793823242,131.625,0.23958333333333334,0.10576313734054565,-0.5531896352767944,0.04954185709357262,2.5558576583862305,86.35982012748718,joint_limit:36|pos_err_exceeded:25|max_steps:23|self_collision:8
40,4896,0.40337416179771274,55.70833206176758,153.72916666666666,0.17708333333333334,0.10828948765993118,-0.490867555141449,0.049388282001018524,2.636768341064453,107.43464517593384,pos_err_exceeded:36|joint_limit:27|max_steps:17|self_collision:11
50,5856,0.4073336611826301,46.5,130.53125,0.13541666666666666,0.10493385791778564,-0.4597189426422119,0.04923444613814354,2.6845648288726807,128.64929819107056,pos_err_exceeded:37|joint_limit:36|max_steps:13|self_collision:10
60,6816,0.45038629388750984,53.03125,142.25,0.20833333333333334,0.1127670630812645,-0.5428769588470459,0.04908120259642601,2.662332057952881,149.88062453269958,pos_err_exceeded:34|joint_limit:31|max_steps:20|self_collision:8
70,7776,0.45824968992992865,53.98958206176758,130.40625,0.1875,0.11546347290277481,-0.4965224862098694,0.048929404467344284,2.6897895336151123,170.7203562259674,joint_limit:38|pos_err_exceeded:32|max_steps:18|self_collision:8
80,8736,0.3819926571122186,46.75,136.48958333333334,0.17708333333333334,0.09579911828041077,-0.5475168228149414,0.04877890646457672,2.6896331310272217,191.8513514995575,joint_limit:35|pos_err_exceeded:35|max_steps:17|self_collision:8
90,9696,0.38835058428487196,54.01041793823242,144.14583333333334,0.125,0.10667833685874939,-0.5218915939331055,0.048629045486450195,2.652721881866455,213.0717692375183,joint_limit:39|pos_err_exceeded:33|max_steps:12|self_collision:12
100,10656,0.41572618975865555,52.82291793823242,139.3125,0.15625,0.10399452596902847,-0.4856041669845581,0.04848022013902664,2.580005645751953,234.147136926651,pos_err_exceeded:42|joint_limit:29|max_steps:15|self_collision:7
110,11616,0.44009814531943087,56.91666793823242,138.45833333333334,0.16666666666666666,0.10003358125686646,-0.49942654371261597,0.048332344740629196,2.7194089889526367,255.21610474586487,pos_err_exceeded:38|joint_limit:30|max_steps:16|self_collision:10
120,12576,0.36834633717239473,44.70833206176758,139.63541666666666,0.1875,0.1131613627076149,-0.5264225602149963,0.04818478226661682,2.668384552001953,276.35439467430115,joint_limit:38|pos_err_exceeded:30|max_steps:18|self_collision:6
130,13536,0.3548774449039651,45.34375,142.96875,0.15625,0.12202922999858856,-0.5301719903945923,0.04803762957453728,2.6583967208862305,297.55810165405273,joint_limit:40|pos_err_exceeded:32|max_steps:15|self_collision:8
140,14496,0.3814391206734628,45.05208206176758,133.875,0.16666666666666666,0.09737034887075424,-0.46439915895462036,0.047891274094581604,2.6734986305236816,318.5419590473175,pos_err_exceeded:38|joint_limit:31|max_steps:16|self_collision:9
150,15456,0.3978417054849502,51.19791793823242,133.46875,0.17708333333333334,0.10500316321849823,-0.5111165046691895,0.047745563089847565,2.603809356689453,339.6154742240906,pos_err_exceeded:39|joint_limit:33|max_steps:17|self_collision:5
160,16416,0.3668290727863801,44.22916793823242,139.9375,0.11458333333333333,0.12171328067779541,-0.6383435130119324,0.04760075733065605,2.71994686126709,360.83795261383057,pos_err_exceeded:41|joint_limit:34|max_steps:11|self_collision:7
170,17376,0.4030904444188861,46.33333206176758,133.35416666666666,0.16666666666666666,0.0945996642112732,-0.4447396695613861,0.047456178814172745,2.686708927154541,381.7147798538208,joint_limit:39|pos_err_exceeded:36|max_steps:16|self_collision:5
180,18336,0.4572784545220296,60.86458206176758,135.09375,0.15625,0.0985347330570221,-0.5402899980545044,0.04731195792555809,2.733694076538086,402.49894666671753,pos_err_exceeded:38|joint_limit:31|max_steps:15|self_collision:8
190,19296,0.37539926830080467,43.125,131.96875,0.16666666666666666,0.1025446206331253,-0.4998186230659485,0.04716822877526283,2.573047161102295,423.5568494796753,joint_limit:40|pos_err_exceeded:36|max_steps:16|self_collision:3
200,20256,0.4854983067322649,58.05208206176758,136.96875,0.23958333333333334,0.10789494961500168,-0.533122718334198,0.04702627286314964,2.605823278427124,444.8963918685913,pos_err_exceeded:39|joint_limit:30|max_steps:23|self_collision:3
210,21216,0.4203620771985399,51.5,142.84375,0.1875,0.10098238289356232,-0.45740848779678345,0.046885162591934204,2.671130418777466,465.7755870819092,joint_limit:34|pos_err_exceeded:31|max_steps:18|self_collision:12
220,22176,0.48252837213484406,63.38541793823242,141.86458333333334,0.19791666666666666,0.10815705358982086,-0.5207322835922241,0.046743445098400116,2.726801872253418,486.6643748283386,pos_err_exceeded:46|joint_limit:21|max_steps:19|self_collision:8
230,23136,0.40518499426451493,52.66666793823242,146.60416666666666,0.17708333333333334,0.1111041009426117,-0.5748393535614014,0.04660174250602722,2.673706531524658,507.85160994529724,pos_err_exceeded:36|joint_limit:31|max_steps:17|self_collision:9
240,24096,0.44181905687288925,50.44791793823242,137.21875,0.1875,0.09537626057863235,-0.4561092257499695,0.046460654586553574,2.6322267055511475,528.8577222824097,joint_limit:37|pos_err_exceeded:32|max_steps:18|self_collision:9
250,25056,0.3727390377515573,46.13541793823242,138.83333333333334,0.125,0.11341588199138641,-0.512690544128418,0.04632049426436424,2.630937099456787,549.690721988678,pos_err_exceeded:37|joint_limit:33|self_collision:12|max_steps:12
260,26016,0.4275229755138626,52.67708206176758,138.82291666666666,0.16666666666666666,0.09270063042640686,-0.5365344285964966,0.04618034139275551,2.731175422668457,570.9714407920837,pos_err_exceeded:35|joint_limit:31|max_steps:16|self_collision:12
