epoch,train_loss,val_loss,sample_dist,sample_div,wall
1,0.5712185463805434,0.5156876342194557,2.078083117802938,2.0649571418762207,2329.971304470906
2,0.5068792964253597,0.5009292189158816,2.0613258679707847,2.0467677116394043,4795.30046598101
3,0.49773889875380545,0.49522500021286997,2.0655826727549234,2.050661325454712,7279.033896408044
4,0.4936509321527783,0.492140094616391,2.0679139296213784,2.045830726623535,9747.137927044882
5,0.4913700745180986,0.4901673129681444,2.0741870403289795,2.081389586130778,12241.45914696902
6,0.4896776385694907,0.48877300329161727,2.077181021372477,2.0644134680430093,14721.598344712052
7,0.4884929095675791,0.4875368647163653,2.061662038167318,2.057323773701986,17213.3746823899
8,0.4875104224770025,0.48758811656449497,2.0639806588490806,2.038861036300659,19684.903777647996
9,0.48677791087891514,0.4864662365036184,2.0422562758127847,2.039130449295044,22175.254844551906
10,0.4860619151404508,0.4861939735569157,2.0598374207814536,2.058917284011841,24644.75571350893
11,0.4856771794325536,0.48590138342447975,2.0529722372690835,2.0531702836354575,27128.00487489393
12,0.48520106756726405,0.48517013024345207,2.0589444637298584,2.053710619608561,29617.362935882993
13,0.484780076870999,0.4848100004459689,2.057578961054484,2.0591437816619873,32105.997035369044
14,0.48434960975004276,0.48436556210232773,2.0745644569396973,2.052029848098755,34601.55028884299
15,0.48407598019208564,0.48488194311293276,2.053620179494222,2.0369207859039307,37086.115372123895
