i,theta_d_deg,K_branches,argmax_gid,top1,top2,top1_top2_gap,Lmax_g0,Lstd_g0,Lmax_g1,Lstd_g1,Lmax_g2,Lstd_g2,Lmax_g3,Lstd_g3,Lmax_g4,Lstd_g4,top_branch_bimodal,top_branch_npeaks
0,-30.0,3,0,0.4693337678909302,0.11999993771314621,0.34933383017778397,0.4693337678909302,0.1979610025882721,0.04533333331346512,0.003742464818060398,0.11999993771314621,0.024173714220523834,,,,,1,2
1,-28.0,3,0,0.4733337461948395,0.1253332644701004,0.3480004817247391,0.4733337461948395,0.20333032310009003,0.04533333331346512,0.004105280619114637,0.1253332644701004,0.02671659179031849,,,,,1,2
2,-26.0,3,0,0.47600045800209045,0.1306665986776352,0.34533385932445526,0.47600045800209045,0.2010158747434616,0.04533333703875542,0.003955306485295296,0.1306665986776352,0.0288936085999012,,,,,1,2
3,-24.0,3,0,0.4800005257129669,0.13599993288516998,0.34400059282779694,0.4800005257129669,0.19848178327083588,0.045333340764045715,0.0038180863484740257,0.13599993288516998,0.029895970597863197,,,,,1,2
4,-22.0,3,0,0.48400044441223145,0.1439998894929886,0.34000055491924286,0.48400044441223145,0.20494967699050903,0.04266666620969772,0.0034732238855212927,0.1439998894929886,0.033045653253793716,,,,,1,2
5,-20.0,3,0,0.48933377861976624,0.14666655659675598,0.34266722202301025,0.48933377861976624,0.20703640580177307,0.04266666620969772,0.00342539488337934,0.14666655659675598,0.03341066837310791,,,,,1,2
6,-18.0,3,0,0.492000550031662,0.15466655790805817,0.3373339921236038,0.492000550031662,0.1935800164937973,0.04266667366027832,0.003443616209551692,0.15466655790805817,0.03814375400543213,,,,,1,2
7,-16.0,3,0,0.4973337948322296,0.15999986231327057,0.33733393251895905,0.4973337948322296,0.19553887844085693,0.04266666620969772,0.003407076932489872,0.15999986231327057,0.03979625180363655,,,,,1,3
8,-14.0,3,0,0.5026671290397644,0.16266652941703796,0.34000059962272644,0.5026671290397644,0.19151610136032104,0.04266666620969772,0.0034465049393475056,0.16266652941703796,0.04008752107620239,,,,,1,3
9,-12.0,3,0,0.5066671967506409,0.17066653072834015,0.3360006660223007,0.5066671967506409,0.1794653981924057,0.04266666993498802,0.003376889042556286,0.17066653072834015,0.043559323996305466,,,,,1,3
10,-10.0,3,0,0.5106672048568726,0.17599987983703613,0.3346673250198364,0.5106672048568726,0.16592928767204285,0.04266666993498802,0.003339621005579829,0.17599987983703613,0.04523427411913872,,,,,1,3
11,-8.0,3,0,0.516000509262085,0.18399988114833832,0.33200062811374664,0.516000509262085,0.15989671647548676,0.04266666620969772,0.003254643874242902,0.18399988114833832,0.04731432721018791,,,,,1,3
12,-6.0,3,0,0.5213338732719421,0.1866665631532669,0.33466731011867523,0.5213338732719421,0.20359426736831665,0.04266666993498802,0.003144406247884035,0.1866665631532669,0.047321658581495285,,,,,1,2
13,-4.0,3,0,0.5266672372817993,0.1893332451581955,0.3373339921236038,0.5266672372817993,0.2023407369852066,0.04266666993498802,0.003084124531596899,0.1893332451581955,0.04753835126757622,,,,,1,2
14,-2.0,3,0,0.5320006012916565,0.19999992847442627,0.3320006728172302,0.5320006012916565,0.20810945332050323,0.04000000283122063,0.0028996861074119806,0.19999992847442627,0.046860288828611374,,,,,1,2
15,0.0,3,0,0.5373339056968689,0.19733326137065887,0.34000064432621,0.5373339056968689,0.21281085908412933,0.04000000283122063,0.0028996861074119806,0.19733326137065887,0.0427107959985733,,,,,1,2
16,2.0,3,0,0.5426672101020813,0.20533326268196106,0.33733394742012024,0.5426672101020813,0.2282545119524002,0.03999999910593033,0.002911921124905348,0.20533326268196106,0.03810970485210419,,,,,1,2
17,4.0,3,0,0.5493339896202087,0.16799986362457275,0.381334125995636,0.5493339896202087,0.21949675679206848,0.04000000283122063,0.0029231340158730745,0.16799986362457275,0.03485281765460968,,,,,1,2
18,6.0,3,0,0.5546672940254211,0.14799989759922028,0.40666739642620087,0.5546672940254211,0.1990542709827423,0.03999999910593033,0.00292118638753891,0.14799989759922028,0.033309027552604675,,,,,1,2
19,8.0,3,2,0.1319999247789383,0.04533333703875542,0.08666658774018288,0.04533333703875542,0.002666667103767395,0.04000000283122063,0.0029333336278796196,0.1319999247789383,0.03063417226076126,,,,,1,2
20,10.0,3,2,0.1239999458193779,0.04533333703875542,0.07866660878062248,0.04533333703875542,0.0033688994590193033,0.04000000283122063,0.003028751350939274,0.1239999458193779,0.028584817424416542,,,,,0,1
21,12.0,4,2,0.1226666197180748,0.045333340764045715,0.07733327895402908,0.045333340764045715,0.003471111413091421,0.040000006556510925,0.0028839486185461283,0.1226666197180748,0.02854863926768303,0.024000003933906555,0.0063262986950576305,,,1,2
22,14.0,4,2,0.12266659736633301,0.04533333331346512,0.07733326405286789,0.04533333331346512,0.00373015645891428,0.03999999910593033,0.0028839472215622663,0.12266659736633301,0.029258670285344124,0.029333332553505898,0.008632461540400982,,,1,2
23,16.0,4,2,0.11733328551054001,0.04533333703875542,0.07199994847178459,0.04533333703875542,0.003860375378280878,0.04000000283122063,0.002882468281313777,0.11733328551054001,0.027801459655165672,0.03466666862368584,0.009388619102537632,,,1,2
24,18.0,4,2,0.11599995940923691,0.04533333703875542,0.07066662237048149,0.04533333703875542,0.004097433295100927,0.04000000283122063,0.002882468281313777,0.11599995940923691,0.02770162932574749,0.03866666927933693,0.009976361878216267,,,0,1
