iter,mean_R,mean_len,success_rate,pi_loss,v_loss,entropy,kl,clip_frac,wall,reason_breakdown
1,0.2718750238418579,21.75,0.1875,-0.8209357261657715,0.27694129943847656,2.9300754070281982,0.04266875982284546,0.171875,0.5661706924438477,init_ik_fail:11|max_steps:3|pos_err_exceeded:2
2,0.10546875,8.4375,0.0625,-0.40434530377388,0.07596990466117859,2.93170428276062,0.03517928719520569,0.109375,0.7586982250213623,init_ik_fail:14|max_steps:1|pos_err_exceeded:1
3,0.2679687440395355,21.4375,0.1875,0.1576601266860962,0.1061331108212471,2.9318387508392334,0.0854940414428711,0.0,1.054642915725708,init_ik_fail:11|max_steps:3|pos_err_exceeded:1|self_collision:1
