iter,buffer_size,mean_R,mean_raw_R,mean_oracle_raw_R,mean_len,mean_T,success_rate,q_loss,pi_loss,alpha,entropy,wall,reasons
1,4096,0.6269305944442749,0.2699776933676268,0.4222422359846778,38.201171875,150.734375,0.06787109375,0.11020952463150024,-0.9723094701766968,0.04997001588344574,2.7189083099365234,6.379852533340454,pos_err_exceeded:1307|joint_limit:486|max_steps:139|self_collision:106
10,22528,0.5892692804336548,0.36947863704216766,0.5729421839820473,49.77001953125,145.9375,0.1484375,0.0717247724533081,-0.7434972524642944,0.049700893461704254,2.664957046508789,32.74707102775574,pos_err_exceeded:1099|joint_limit:512|max_steps:304|self_collision:124
20,43008,0.6476985812187195,0.30598187939390364,0.4551932517078271,36.587890625,139.0625,0.109375,0.0684332549571991,-0.6874083876609802,0.04940376058220863,2.6280899047851562,61.09021615982056,pos_err_exceeded:1168|joint_limit:518|max_steps:224|self_collision:134
30,63488,0.6678255796432495,0.3930652207227662,0.5862837276415134,49.75048828125,132.5625,0.16796875,0.06611890345811844,-0.7295252084732056,0.049108244478702545,2.704284191131592,89.26946330070496,pos_err_exceeded:1105|joint_limit:502|max_steps:344|self_collision:87
40,83968,0.5844538807868958,0.3951260939381551,0.6024978095411921,50.6845703125,138.859375,0.1669921875,0.06852329522371292,-0.751838207244873,0.0488145649433136,2.7119317054748535,117.28727602958679,pos_err_exceeded:951|joint_limit:557|max_steps:342|self_collision:133
50,104448,0.6159873008728027,0.3610391189452099,0.5575355500749389,45.8564453125,146.515625,0.11767578125,0.04620068520307541,-0.7494449615478516,0.04852280020713806,2.7148025035858154,145.91617345809937,pos_err_exceeded:1119|joint_limit:489|max_steps:241|self_collision:183
60,124928,0.5940939784049988,0.323688642403992,0.48366222914086987,39.42333984375,145.203125,0.154296875,0.06213601678609848,-0.7522844076156616,0.048232633620500565,2.6909921169281006,174.53733825683594,pos_err_exceeded:1121|joint_limit:352|max_steps:316|self_collision:243
70,145408,0.6318328976631165,0.39999434352968766,0.6357703598777895,44.1767578125,132.0625,0.19482421875,0.03590020537376404,-0.6947174072265625,0.047944217920303345,2.7014079093933105,203.69092774391174,pos_err_exceeded:1109|joint_limit:408|max_steps:399|self_collision:112
80,165888,0.6117048859596252,0.4096855478264051,0.6215665703276471,46.22216796875,133.171875,0.20703125,0.05707274004817009,-0.7394242286682129,0.04765749350190163,2.629641532897949,232.95446872711182,pos_err_exceeded:957|joint_limit:482|max_steps:424|self_collision:176
90,186368,0.6646248698234558,0.41321491594079685,0.5830388741814988,46.0888671875,129.890625,0.20947265625,0.04840498045086861,-0.7451435327529907,0.04737284779548645,2.706636667251587,261.1606922149658,pos_err_exceeded:1087|max_steps:429|joint_limit:423|self_collision:68
100,200000,0.674578845500946,0.3723479729796197,0.5221204266743753,49.146484375,152.125,0.1171875,0.042309753596782684,-0.649135947227478,0.04709004983305931,2.662379503250122,289.2031190395355,pos_err_exceeded:1169|joint_limit:567|max_steps:240|self_collision:71
