iter,buffer_size,mean_R,mean_len,mean_T,success_rate,q_loss,pi_loss,alpha,entropy,wall,reasons
1,1536,0.31642281432400693,38.91926956176758,137.953125,0.11197916666666667,0.12807640433311462,-0.2947816550731659,0.04997001588344574,2.6866044998168945,6.0949320793151855,pos_err_exceeded:193|joint_limit:117|max_steps:43|self_collision:25
10,4992,0.31311867213658545,38.60416793823242,137.06770833333334,0.10416666666666667,0.09204453229904175,-0.4658661484718323,0.04970090836286545,2.6758503913879395,19.14998435974121,pos_err_exceeded:205|joint_limit:106|max_steps:40|self_collision:25
20,8832,0.31407312509912716,41.93229293823242,143.09375,0.11197916666666667,0.09477666020393372,-0.43707191944122314,0.04940330982208252,2.6940221786499023,33.74037408828735,pos_err_exceeded:175|joint_limit:129|max_steps:43|self_collision:25
30,12672,0.3165130155923122,38.41145706176758,140.1953125,0.13541666666666666,0.08904289454221725,-0.4297215938568115,0.04910743609070778,2.686631679534912,48.35964751243591,pos_err_exceeded:176|joint_limit:121|max_steps:52|self_collision:26
40,16512,0.30814076590850253,38.38541793823242,143.43489583333334,0.1015625,0.10573060810565948,-0.426073282957077,0.04881329461932182,2.7379777431488037,62.80195927619934,pos_err_exceeded:193|joint_limit:117|max_steps:39|self_collision:25
50,20352,0.3077766644967807,37.88801956176758,139.0546875,0.109375,0.1011897400021553,-0.45639052987098694,0.04852110892534256,2.6954588890075684,77.17708325386047,pos_err_exceeded:184|joint_limit:141|max_steps:42|self_collision:11
60,24192,0.35896754477469406,41.87239456176758,134.44010416666666,0.16145833333333334,0.09432724118232727,-0.4807009696960449,0.048231009393930435,2.7026426792144775,91.54448628425598,pos_err_exceeded:181|joint_limit:110|max_steps:62|self_collision:23
70,28032,0.33052414504870403,41.90885543823242,144.76041666666666,0.125,0.09215423464775085,-0.4516664147377014,0.047942791134119034,2.6308951377868652,105.90133094787598,pos_err_exceeded:171|joint_limit:118|max_steps:48|self_collision:34
80,31872,0.3170489089764841,38.98958206176758,139.90885416666666,0.140625,0.0866997241973877,-0.49014878273010254,0.0476565808057785,2.687681198120117,120.36589479446411,pos_err_exceeded:184|joint_limit:113|max_steps:54|self_collision:26
90,35712,0.33060600587278655,38.328125,137.44010416666666,0.14322916666666666,0.09634548425674438,-0.4358360171318054,0.04737214744091034,2.7030434608459473,134.6430368423462,pos_err_exceeded:190|joint_limit:107|max_steps:55|self_collision:25
100,39552,0.29257795727462804,37.6640625,145.859375,0.11458333333333333,0.09955750405788422,-0.4613610804080963,0.047089532017707825,2.682262420654297,149.06441140174866,pos_err_exceeded:192|joint_limit:118|max_steps:44|self_collision:21
110,43392,0.3366890023026729,40.37760543823242,136.453125,0.13020833333333334,0.09496216475963593,-0.4548553228378296,0.04680871590971947,2.688997507095337,163.52673363685608,pos_err_exceeded:174|joint_limit:124|max_steps:50|self_collision:27
120,47232,0.34496928022528967,40.41926956176758,136.51822916666666,0.125,0.0957060307264328,-0.4330638647079468,0.04652959108352661,2.676222324371338,178.01451802253723,pos_err_exceeded:210|joint_limit:105|max_steps:48|self_collision:17
130,51072,0.3128658536951932,38.2265625,138.24739583333334,0.12239583333333333,0.09759485721588135,-0.4304153621196747,0.04625209793448448,2.670008420944214,192.40565299987793,pos_err_exceeded:179|joint_limit:132|max_steps:47|init_ik_fail:13
140,54912,0.2932158184780178,35.19791793823242,139.74479166666666,0.11197916666666667,0.08877461403608322,-0.4237077236175537,0.04597647860646248,2.63288950920105,206.69693636894226,pos_err_exceeded:195|joint_limit:120|max_steps:43|self_collision:21
150,58752,0.32727856166850505,38.1953125,132.64322916666666,0.11458333333333333,0.09971204400062561,-0.47334519028663635,0.045702315866947174,2.699883460998535,221.0924050807953,pos_err_exceeded:209|joint_limit:104|max_steps:44|self_collision:24
160,62592,0.3266018431404636,41.0390625,141.19010416666666,0.1171875,0.09313716739416122,-0.4535118341445923,0.045429375022649765,2.6726346015930176,235.2866690158844,pos_err_exceeded:192|joint_limit:109|max_steps:45|self_collision:28
170,66432,0.337525887816749,41.8984375,141.82291666666666,0.13541666666666666,0.10175371170043945,-0.47306567430496216,0.04515865817666054,2.6368727684020996,249.516295671463,pos_err_exceeded:196|joint_limit:108|max_steps:52|self_collision:23
