iter,mean_R,mean_len,success_rate,pi_loss,v_loss,entropy,kl,clip_frac,wall,reason_breakdown
1,0.21570689976215363,10.953125,0.125,-0.15060466527938843,0.5844471454620361,2.9182515144348145,0.061995141208171844,0.359375,1.0608570575714111,init_ik_fail:47|pos_err_exceeded:8|max_steps:8|joint_limit:1
10,0.49537748098373413,23.140625,0.4375,-0.1485721617937088,0.35518014430999756,2.86726975440979,0.05414824187755585,0.38671875,10.912814140319824,max_steps:28|init_ik_fail:28|pos_err_exceeded:8
20,0.4777761697769165,25.6875,0.328125,-0.2118961662054062,0.19692611694335938,2.5770320892333984,0.06040281802415848,0.1171875,23.27537202835083,init_ik_fail:28|max_steps:21|pos_err_exceeded:10|joint_limit:4
30,0.5780859589576721,30.4375,0.421875,-0.017208077013492584,0.1421934962272644,2.696009397506714,0.05547881871461868,0.125,36.16983699798584,max_steps:27|init_ik_fail:19|pos_err_exceeded:10|self_collision:6
40,0.3899722099304199,19.28125,0.28125,-0.24515853822231293,0.18940217792987823,3.1502492427825928,0.051503464579582214,0.40625,49.36776685714722,init_ik_fail:31|max_steps:18|pos_err_exceeded:9|self_collision:5
50,0.6117898225784302,28.765625,0.484375,-0.3727664649486542,0.2428569346666336,4.250146389007568,0.05303746834397316,0.2604166666666667,63.47613525390625,max_steps:31|init_ik_fail:20|pos_err_exceeded:8|self_collision:3
60,0.5335900783538818,22.578125,0.46875,-0.06882690638303757,0.22041001915931702,4.0957865715026855,0.058578625321388245,0.015625,77.70613551139832,max_steps:30|init_ik_fail:27|pos_err_exceeded:6|joint_limit:1
70,0.592250406742096,29.546875,0.484375,0.021586477756500244,0.22239641845226288,3.5359458923339844,0.09553863108158112,0.2421875,91.37592077255249,max_steps:31|init_ik_fail:21|pos_err_exceeded:9|self_collision:3
80,0.6885741949081421,32.890625,0.578125,-0.25678348541259766,0.16703161597251892,3.4549942016601562,0.05695069953799248,0.03125,106.79134106636047,max_steps:37|init_ik_fail:15|pos_err_exceeded:7|self_collision:5
90,0.5301838517189026,24.78125,0.484375,-0.43363523483276367,0.13152535259723663,3.7381980419158936,0.05090008303523064,0.34598214285714285,121.17153310775757,max_steps:31|init_ik_fail:26|pos_err_exceeded:5|self_collision:1
100,0.648422360420227,30.578125,0.578125,-0.05612141638994217,0.210530087351799,4.3595967292785645,0.0784420296549797,0.22916666666666666,136.49713039398193,max_steps:37|init_ik_fail:19|pos_err_exceeded:6|self_collision:1
110,0.617875874042511,30.078125,0.515625,-0.20286273956298828,0.1657073199748993,4.517902374267578,0.05235033109784126,0.09375,151.4642219543457,max_steps:33|init_ik_fail:19|pos_err_exceeded:6|self_collision:5
120,0.6692191958427429,33.796875,0.578125,-0.06881573051214218,0.17013439536094666,4.276617050170898,0.05043886974453926,0.2109375,166.65626406669617,max_steps:37|init_ik_fail:16|pos_err_exceeded:8|self_collision:2
130,0.5357810854911804,26.296875,0.421875,-0.18920600414276123,0.12869784235954285,5.290822982788086,0.05112697556614876,0.2864583333333333,181.9610333442688,max_steps:27|init_ik_fail:23|pos_err_exceeded:11|joint_limit:2
140,0.7046635150909424,34.5625,0.546875,-0.2956252694129944,0.14719924330711365,5.101587295532227,0.05267339572310448,0.1953125,198.09726786613464,max_steps:35|init_ik_fail:14|pos_err_exceeded:11|joint_limit:2
150,0.62581467628479,31.484375,0.53125,-0.1456737369298935,0.18102706968784332,5.571963787078857,0.06276440620422363,0.03125,213.65014719963074,max_steps:34|init_ik_fail:19|pos_err_exceeded:6|joint_limit:3
160,0.6214045286178589,31.0,0.484375,-0.1663617193698883,0.191850945353508,6.0078444480896,0.056585248559713364,0.046875,228.16690373420715,max_steps:31|init_ik_fail:20|pos_err_exceeded:7|joint_limit:3
170,0.6367409229278564,28.75,0.546875,-0.38927286863327026,0.177985280752182,5.887840270996094,0.06003661826252937,0.1875,242.9088158607483,max_steps:35|init_ik_fail:18|pos_err_exceeded:8|self_collision:2
180,0.7416069507598877,36.453125,0.5625,-0.2678593397140503,0.0963372141122818,6.354278564453125,0.05223849415779114,0.4125,258.77292943000793,max_steps:36|pos_err_exceeded:13|init_ik_fail:7|joint_limit:5
190,0.6374316215515137,31.265625,0.515625,-0.27063292264938354,0.1072925552725792,7.286631107330322,0.0607377290725708,0.31640625,273.5204875469208,max_steps:33|init_ik_fail:14|pos_err_exceeded:11|self_collision:4
200,0.6402680277824402,31.9375,0.515625,-0.28941452503204346,0.1280251145362854,7.183934211730957,0.06728288531303406,0.3854166666666667,289.0310266017914,max_steps:33|init_ik_fail:15|pos_err_exceeded:13|self_collision:2
210,0.7237683534622192,35.546875,0.609375,-0.11343099176883698,0.09485799074172974,7.274178981781006,0.07114776968955994,0.4739583333333333,304.7344810962677,max_steps:39|init_ik_fail:13|pos_err_exceeded:10|self_collision:1
220,0.7350950241088867,37.421875,0.609375,-0.3969569802284241,0.0944225862622261,7.433637619018555,0.05304378271102905,0.2109375,321.1624722480774,max_steps:39|pos_err_exceeded:13|init_ik_fail:9|self_collision:2
230,0.7418733835220337,35.078125,0.59375,-0.25113821029663086,0.11915857344865799,7.578266143798828,0.06992199271917343,0.078125,337.45412039756775,max_steps:38|init_ik_fail:11|pos_err_exceeded:11|self_collision:3
240,0.6401464343070984,32.140625,0.546875,-0.32870763540267944,0.18534445762634277,9.028648376464844,0.0695497915148735,0.1328125,352.9793059825897,max_steps:35|init_ik_fail:16|pos_err_exceeded:12|self_collision:1
250,0.6932822465896606,31.703125,0.546875,-0.16554105281829834,0.1289309859275818,8.190752029418945,0.06289370357990265,0.40848214285714285,368.7239978313446,max_steps:35|pos_err_exceeded:13|init_ik_fail:8|self_collision:5
260,0.7314141392707825,36.484375,0.671875,-0.29466938972473145,0.08773210644721985,8.703132629394531,0.06893175840377808,0.421875,384.10063576698303,max_steps:43|init_ik_fail:13|pos_err_exceeded:6|joint_limit:2
270,0.7156503796577454,36.15625,0.609375,-0.06889691948890686,0.14523062109947205,9.00065803527832,0.05330272018909454,0.09375,400.1367049217224,max_steps:39|init_ik_fail:12|pos_err_exceeded:8|joint_limit:4
280,0.7627861499786377,37.109375,0.625,-0.3315861225128174,0.07524953782558441,9.195850372314453,0.07223950326442719,0.421875,416.5644347667694,max_steps:40|pos_err_exceeded:11|init_ik_fail:7|self_collision:5
290,0.7143642902374268,36.015625,0.546875,-0.3820899426937103,0.1308978796005249,11.255912780761719,0.10121475160121918,0.1953125,432.64347410202026,max_steps:35|pos_err_exceeded:13|init_ik_fail:12|joint_limit:2
300,0.7173141241073608,34.34375,0.5625,-0.5274665355682373,0.08591831475496292,9.960453033447266,-0.02917340397834778,0.45703125,448.73236107826233,max_steps:36|init_ik_fail:15|pos_err_exceeded:10|self_collision:2
310,0.7536239624023438,36.90625,0.609375,-0.3266434669494629,0.1467021405696869,10.143081665039062,0.06129974126815796,0.140625,465.1832242012024,max_steps:39|init_ik_fail:9|pos_err_exceeded:8|self_collision:6
320,0.7104321718215942,37.15625,0.59375,-0.2801923155784607,0.12892457842826843,10.67406940460205,0.09086880832910538,0.2109375,481.41412806510925,max_steps:38|init_ik_fail:12|pos_err_exceeded:7|self_collision:6
330,0.702004611492157,34.28125,0.578125,-0.3874768912792206,0.0881287008523941,12.194067001342773,0.07291324436664581,0.26171875,497.70381450653076,max_steps:37|init_ik_fail:12|pos_err_exceeded:9|self_collision:6
340,0.7152828574180603,33.421875,0.640625,-0.38564103841781616,0.10676021873950958,11.401582717895508,0.061738669872283936,0.1640625,513.5343625545502,max_steps:41|init_ik_fail:12|pos_err_exceeded:8|self_collision:2
350,0.7303961515426636,36.359375,0.46875,-0.16326555609703064,0.07532262057065964,10.86543083190918,0.11295819282531738,0.140625,529.875420331955,max_steps:30|pos_err_exceeded:16|init_ik_fail:8|self_collision:7
360,0.6588978171348572,34.078125,0.46875,-0.17599107325077057,0.09214088320732117,10.389062881469727,0.06823578476905823,0.25,546.6336743831635,max_steps:30|init_ik_fail:14|pos_err_exceeded:13|self_collision:5
370,0.8189871311187744,43.40625,0.65625,-0.2555985152721405,0.08923771977424622,9.942590713500977,0.07435932755470276,0.0703125,563.5908539295197,max_steps:42|pos_err_exceeded:11|init_ik_fail:5|joint_limit:3
380,0.8197632431983948,40.484375,0.640625,-0.2941116988658905,0.08015038073062897,10.190760612487793,0.0887812077999115,0.19140625,579.7588832378387,max_steps:41|pos_err_exceeded:13|init_ik_fail:5|self_collision:4
390,0.6851235628128052,37.265625,0.515625,-0.34086596965789795,0.0814504474401474,10.312336921691895,0.08922597765922546,0.203125,596.3676476478577,max_steps:33|pos_err_exceeded:12|init_ik_fail:9|self_collision:7
400,0.7723721265792847,37.4375,0.625,-0.32056933641433716,0.10412461310625076,10.27461051940918,0.050488829612731934,0.109375,612.927045583725,max_steps:40|init_ik_fail:9|pos_err_exceeded:6|self_collision:5
410,0.6425964832305908,30.25,0.546875,-0.3201768398284912,0.1670403629541397,10.954130172729492,0.09536701440811157,0.1796875,629.0524678230286,max_steps:35|init_ik_fail:17|pos_err_exceeded:8|joint_limit:3
