epoch,train_loss,val_loss,sample_dist,sample_div,wall
1,1.260430938311711,0.8089358279492072,2.2755717436472573,2.249713102976481,10.22581215784885
2,0.7484840647994904,0.7219794467329776,2.189122120539347,2.1439132690429688,20.236478546867147
3,0.7008814810152575,0.7044368117900535,2.26520045598348,2.2609380086263022,30.240486236987635
4,0.6797846999322414,0.6768718368708028,2.209251801172892,2.1840423742930093,40.21749397786334
5,0.6627882174266869,0.6637529639375409,2.189698855082194,2.1516151428222656,50.19708254584111
6,0.6479279285630138,0.6493122799921995,2.1912253697713218,2.1566312313079834,60.28932889085263
7,0.6410459564131135,0.6515275602767009,2.2172024250030518,2.1834680239359536,70.45738348085433
8,0.6305957855336105,0.6308834201287257,2.175262212753296,2.141634464263916,80.85628703585826
9,0.6261947304718388,0.632640001408578,2.2023250261942544,2.1894259452819824,91.06650171685033
10,0.6169538047553883,0.6264682705182741,2.1443723837534585,2.0808728535970054,101.45513979694806
11,0.6126083679456827,0.6138376145617739,2.159447987874349,2.116840442021688,111.73517529596575
12,0.6067779176085804,0.6129379469046484,2.189573287963867,2.1510180632273355,121.83621350885369
13,0.6029483973007543,0.6116817838554902,2.169535477956136,2.1252501010894775,132.11458443989977
14,0.6000630996059704,0.6034488453030681,2.1707340081532798,2.1301655769348145,142.30650439695455
15,0.5962001886984616,0.599111372936484,2.1522514820098877,2.1153302987416587,152.57423874293454
16,0.5900600100892062,0.590472015949236,2.144108613332113,2.112421989440918,162.6713002959732
17,0.5863358992740866,0.5941264031188157,2.145380179087321,2.0870347023010254,172.97235850291327
18,0.5822616102625466,0.5805177022845377,2.121174176534017,2.080398956934611,183.21220832900144
19,0.5790469642231775,0.5851500586967424,2.1423803170522056,2.106238683064779,193.40535899996758
20,0.5747396493521791,0.5843313443460142,2.1387580235799155,2.1014324029286704,203.67595040798187
21,0.57239794487478,0.5769741363178887,2.12917160987854,2.0976730982462564,213.9411203379277
22,0.5683777745552071,0.5701926802153395,2.1211301485697427,2.0833897590637207,224.26419001095928
23,0.5653890184599756,0.5708295234804419,2.137584129969279,2.107832113901774,234.3813839929644
24,0.5626024980851324,0.5645484461590604,2.149414857228597,2.118273893992106,244.51855131890625
25,0.5609392692410616,0.5635163710473041,2.1251869201660156,2.090066989262899,254.70737476996146
26,0.5600990019277252,0.5648488846044077,2.143285353978475,2.119011640548706,264.65954301902093
27,0.5567597110880711,0.5673001682313303,2.1255505084991455,2.104771534601847,274.71152264392003
28,0.5557976178829905,0.5587486383217755,2.1450815200805664,2.125498056411743,284.89071252802387
29,0.5526300991281985,0.5653254962609512,2.111442724863688,2.088303804397583,295.09490943397395
30,0.5522700619667226,0.5532141039591553,2.1115070978800454,2.0754501819610596,305.159659357043
31,0.5498318058180222,0.5503282546898652,2.152843475341797,2.1073532899220786,315.5074252700433
32,0.5480799459945033,0.5603313789989105,2.1364125410715737,2.1082011063893638,325.8445921919774
33,0.5465339076951279,0.5549458138998441,2.13067364692688,2.105072577794393,336.2076343758963
34,0.5465250863290049,0.5486873947295884,2.130025784174601,2.104055484135946,346.14360219892114
35,0.5447370090961373,0.5466507310485734,2.120558182398478,2.085191249847412,356.30729904491454
36,0.5425632386299041,0.5502443193644945,2.1030964056650796,2.062204043070475,366.5069589340128
37,0.5412274679782749,0.5475046189278792,2.0980192025502524,2.0863951047261557,376.67442343290895
38,0.5411922125479287,0.5456204717477322,2.1179351011912027,2.0758015314737954,386.9263736119028
39,0.5405777237951276,0.5406053815062791,2.1231427987416587,2.090470472971598,397.138353878865
40,0.5390062634906728,0.5494473613094594,2.110932985941569,2.062192360560099,407.3936438888777
41,0.5374301754267699,0.543701421334293,2.146263519922892,2.141105810801188,417.65855879196897
42,0.537331724749429,0.5448755239833398,2.125988324483236,2.1086475054423013,427.61941805901006
43,0.5363911062807283,0.5393542192187301,2.1292611757914224,2.100285847981771,437.81114244204946
44,0.5346479714194138,0.5331211340284424,2.1266490618387857,2.142054637273153,448.04452863987535
45,0.5346811266590085,0.5345864824142214,2.120239734649658,2.111328442891439,458.2721994048916
46,0.5330419237235591,0.5391666001290023,2.1230191389719644,2.1338677406311035,468.4957893330138
47,0.5326980270045212,0.5535958969531671,2.1267736752827964,2.0906389554341636,478.7196943559684
48,0.5323217008351725,0.5323649130984294,2.1027487913767495,2.10057004292806,488.79923031502403
49,0.5317069581080576,0.5349942805598173,2.111295143763224,2.097660700480143,498.8731263950467
50,0.5303927262230119,0.5360741653946856,2.098290125528971,2.0715392430623374,508.9670147369616
