iter,mean_R,mean_len,success_rate,pi_loss,v_loss,entropy,kl,clip_frac,wall,reason_breakdown
1,0.2841346263885498,11.125,0.1875,-0.8021906018257141,1.052286148071289,2.8274598121643066,0.07146760821342468,0.5416666666666666,0.42514562606811523,init_ik_fail:10|pos_err_exceeded:3|max_steps:3
2,0.3207111954689026,18.75,0.125,-0.2883685529232025,0.629668116569519,2.718860149383545,0.0558532178401947,0.4375,0.7312588691711426,init_ik_fail:10|pos_err_exceeded:4|max_steps:2
3,0.2211538553237915,10.8125,0.1875,-0.28510379791259766,0.17332641780376434,2.7450132369995117,0.08662688732147217,0.0,0.9420795440673828,init_ik_fail:12|max_steps:3|pos_err_exceeded:1
