[CVT] database loaded from /home/lqin/one/one/robots/manipulators/franka/fr3/data
[  290/1000] R=0.559 len= 44.8/80 succ=0.27 pi=-0.132 V=0.087 H=+2.31 KL=0.075* cf=0.13 (627.1s) [pos_err_exceeded:20|init_ik_fail:18|max_steps:17|joint_limit:5]
[  300/1000] R=0.644 len= 51.5/80 succ=0.36 pi=-0.017 V=0.103 H=+2.32 KL=0.059* cf=0.24 (649.8s) [max_steps:23|pos_err_exceeded:20|init_ik_fail:13|self_collision:4]
[  310/1000] R=0.712 len= 57.0/80 succ=0.44 pi=+0.103 V=0.134 H=+2.32 KL=0.108* cf=0.12 (673.5s) [max_steps:28|pos_err_exceeded:20|init_ik_fail:9|joint_limit:6]
[  320/1000] R=0.696 len= 55.7/80 succ=0.38 pi=-0.301 V=0.089 H=+2.31 KL=0.091* cf=0.44 (696.4s) [max_steps:24|pos_err_exceeded:18|joint_limit:9|init_ik_fail:8]
[  330/1000] R=0.668 len= 53.4/80 succ=0.52 pi=-0.074 V=0.106 H=+2.28 KL=0.086* cf=0.16 (719.3s) [max_steps:33|init_ik_fail:13|pos_err_exceeded:10|joint_limit:5]
[  340/1000] R=0.667 len= 53.3/80 succ=0.38 pi=-0.012 V=0.087 H=+2.26 KL=0.057* cf=0.28 (742.3s) [max_steps:24|pos_err_exceeded:20|init_ik_fail:12|self_collision:5]
[  350/1000] R=0.751 len= 60.1/80 succ=0.55 pi=-0.082 V=0.103 H=+2.26 KL=0.072* cf=0.39 (766.0s) [max_steps:35|pos_err_exceeded:10|init_ik_fail:9|joint_limit:7]
[  360/1000] R=0.602 len= 48.2/80 succ=0.39 pi=+0.117 V=0.141 H=+2.23 KL=0.077* cf=0.29 (788.9s) [max_steps:25|init_ik_fail:16|pos_err_exceeded:14|joint_limit:5]
[  370/1000] R=0.688 len= 55.0/80 succ=0.42 pi=+0.077 V=0.081 H=+2.21 KL=0.052* cf=0.05 (812.5s) [max_steps:27|pos_err_exceeded:20|init_ik_fail:9|joint_limit:6]
[  380/1000] R=0.640 len= 51.2/80 succ=0.39 pi=+0.020 V=0.126 H=+2.19 KL=0.071* cf=0.17 (836.4s) [max_steps:25|pos_err_exceeded:18|init_ik_fail:15|joint_limit:5]
[  390/1000] R=0.586 len= 46.9/80 succ=0.34 pi=+0.013 V=0.107 H=+2.19 KL=0.087* cf=0.30 (860.2s) [max_steps:22|init_ik_fail:17|pos_err_exceeded:10|joint_limit:8]
[  400/1000] R=0.668 len= 53.4/80 succ=0.41 pi=-0.030 V=0.067 H=+2.19 KL=0.030  cf=0.47 (884.2s) [max_steps:26|pos_err_exceeded:16|init_ik_fail:12|joint_limit:7]
[  410/1000] R=0.665 len= 53.2/80 succ=0.42 pi=-0.121 V=0.098 H=+2.15 KL=0.075* cf=0.16 (907.1s) [max_steps:27|init_ik_fail:16|pos_err_exceeded:13|joint_limit:7]
[  420/1000] R=0.609 len= 48.7/80 succ=0.34 pi=-0.099 V=0.108 H=+2.13 KL=0.072* cf=0.22 (930.4s) [max_steps:22|init_ik_fail:16|pos_err_exceeded:15|joint_limit:8]
[  430/1000] R=0.640 len= 51.2/80 succ=0.36 pi=-0.113 V=0.063 H=+2.12 KL=0.064* cf=0.35 (953.5s) [max_steps:23|pos_err_exceeded:18|init_ik_fail:15|joint_limit:7]
[  440/1000] R=0.670 len= 53.6/80 succ=0.52 pi=+0.087 V=0.103 H=+2.10 KL=0.088* cf=0.17 (976.9s) [max_steps:33|init_ik_fail:16|pos_err_exceeded:9|joint_limit:6]
[  450/1000] R=0.656 len= 52.5/80 succ=0.38 pi=+0.113 V=0.089 H=+2.09 KL=0.058* cf=0.24 (999.9s) [max_steps:24|pos_err_exceeded:18|init_ik_fail:13|joint_limit:7]
[  460/1000] R=0.691 len= 55.3/80 succ=0.47 pi=-0.193 V=0.046 H=+2.09 KL=0.054* cf=0.02 (1023.5s) [max_steps:30|pos_err_exceeded:15|init_ik_fail:11|joint_limit:6]
[  470/1000] R=0.734 len= 58.7/80 succ=0.53 pi=-0.076 V=0.069 H=+2.09 KL=0.051* cf=0.32 (1046.7s) [max_steps:34|pos_err_exceeded:13|init_ik_fail:11|joint_limit:5]
[  480/1000] R=0.654 len= 52.4/80 succ=0.41 pi=-0.177 V=0.103 H=+2.08 KL=0.051* cf=0.00 (1070.5s) [max_steps:26|pos_err_exceeded:17|init_ik_fail:12|joint_limit:6]
[  490/1000] R=0.627 len= 50.1/80 succ=0.41 pi=+0.032 V=0.090 H=+2.06 KL=0.080* cf=0.15 (1094.2s) [max_steps:26|pos_err_exceeded:15|init_ik_fail:12|joint_limit:9]
[  500/1000] R=0.683 len= 54.7/80 succ=0.47 pi=+0.164 V=0.177 H=+2.04 KL=0.106* cf=0.21 (1117.3s) [max_steps:30|pos_err_exceeded:15|init_ik_fail:14|self_collision:3]
[  510/1000] R=0.735 len= 58.8/80 succ=0.55 pi=-0.000 V=0.083 H=+2.04 KL=0.055* cf=0.39 (1141.1s) [max_steps:35|pos_err_exceeded:10|init_ik_fail:9|joint_limit:8]
[  520/1000] R=0.634 len= 50.7/80 succ=0.34 pi=-0.237 V=0.121 H=+2.03 KL=0.055* cf=0.27 (1164.0s) [max_steps:22|pos_err_exceeded:20|init_ik_fail:14|joint_limit:5]
[  530/1000] R=0.751 len= 60.1/80 succ=0.50 pi=-0.112 V=0.039 H=+2.01 KL=0.052* cf=0.40 (1188.3s) [max_steps:32|pos_err_exceeded:16|init_ik_fail:7|joint_limit:5]
[  540/1000] R=0.713 len= 57.0/80 succ=0.47 pi=+0.082 V=0.115 H=+1.98 KL=0.072* cf=0.53 (1212.0s) [max_steps:30|pos_err_exceeded:18|init_ik_fail:11|joint_limit:3]
[  550/1000] R=0.612 len= 49.0/80 succ=0.34 pi=-0.137 V=0.092 H=+1.96 KL=0.103* cf=0.17 (1235.8s) [max_steps:22|pos_err_exceeded:19|init_ik_fail:15|joint_limit:6]
[  560/1000] R=0.694 len= 55.5/80 succ=0.42 pi=-0.151 V=0.067 H=+1.96 KL=0.077* cf=0.09 (1260.3s) [max_steps:27|pos_err_exceeded:17|init_ik_fail:13|joint_limit:4]
[  570/1000] R=0.687 len= 55.0/80 succ=0.38 pi=-0.073 V=0.078 H=+1.95 KL=0.009  cf=0.54 (1283.8s) [max_steps:24|pos_err_exceeded:23|init_ik_fail:12|joint_limit:5]
[  580/1000] R=0.709 len= 56.8/80 succ=0.52 pi=+0.065 V=0.081 H=+1.94 KL=0.053* cf=0.39 (1307.4s) [max_steps:33|init_ik_fail:13|pos_err_exceeded:11|joint_limit:6]
[  590/1000] R=0.659 len= 52.7/80 succ=0.47 pi=-0.054 V=0.083 H=+1.92 KL=0.053* cf=0.40 (1330.8s) [max_steps:30|init_ik_fail:14|pos_err_exceeded:13|joint_limit:6]
[  600/1000] R=0.723 len= 57.8/80 succ=0.50 pi=-0.075 V=0.101 H=+1.91 KL=0.088* cf=0.23 (1353.6s) [max_steps:32|pos_err_exceeded:18|init_ik_fail:9|joint_limit:4]
[  610/1000] R=0.744 len= 59.5/80 succ=0.50 pi=-0.222 V=0.083 H=+1.90 KL=0.090* cf=0.12 (1377.1s) [max_steps:32|pos_err_exceeded:19|init_ik_fail:7|joint_limit:6]
[  620/1000] R=0.566 len= 45.3/80 succ=0.28 pi=-0.257 V=0.047 H=+1.89 KL=0.053* cf=0.12 (1401.0s) [pos_err_exceeded:21|max_steps:18|init_ik_fail:13|joint_limit:8]
[  630/1000] R=0.613 len= 49.1/80 succ=0.42 pi=+0.014 V=0.097 H=+1.88 KL=0.078* cf=0.34 (1423.8s) [max_steps:27|init_ik_fail:15|pos_err_exceeded:14|joint_limit:7]
[  640/1000] R=0.722 len= 57.8/80 succ=0.47 pi=+0.043 V=0.072 H=+1.87 KL=0.066* cf=0.33 (1446.8s) [max_steps:30|pos_err_exceeded:12|joint_limit:10|init_ik_fail:7]
[  650/1000] R=0.697 len= 55.7/80 succ=0.39 pi=-0.259 V=0.076 H=+1.88 KL=0.067* cf=0.13 (1470.3s) [max_steps:25|pos_err_exceeded:22|init_ik_fail:10|joint_limit:4]
[  660/1000] R=0.682 len= 54.5/80 succ=0.41 pi=-0.100 V=0.091 H=+1.87 KL=0.060* cf=0.16 (1494.1s) [max_steps:26|pos_err_exceeded:19|init_ik_fail:11|joint_limit:5]
[  670/1000] R=0.622 len= 49.8/80 succ=0.39 pi=+0.183 V=0.108 H=+1.86 KL=0.066* cf=0.32 (1517.5s) [max_steps:25|pos_err_exceeded:15|init_ik_fail:12|joint_limit:11]
[  680/1000] R=0.685 len= 54.8/80 succ=0.28 pi=-0.024 V=0.096 H=+1.85 KL=0.052* cf=0.12 (1541.4s) [pos_err_exceeded:26|max_steps:18|init_ik_fail:11|joint_limit:7]
