task_id,T_rl,T_base,ratio_rl_base,term_rl,term_base
3720,24,22,1.0909090909090908,cone,cone
3721,46,43,1.069767441860465,cone,cone
3722,50,35,1.4285714285714286,cone,cone
3723,19,18,1.0555555555555556,cone,cone
3724,16,16,1.0,cone,cone
3725,25,19,1.3157894736842106,cone,cone
3726,11,12,0.9166666666666666,jl,jl
3727,65,37,1.7567567567567568,cone,cone
3728,23,20,1.15,jl,cone
3729,46,37,1.2432432432432432,cone,cone
3730,27,27,1.0,lateral,lateral
3731,58,45,1.288888888888889,cone,cone
3732,21,19,1.105263157894737,cone,cone
3733,57,50,1.14,cone,cone
3734,44,45,0.9777777777777777,cone,cone
3735,54,55,0.9818181818181818,jl,cone
3736,9,31,0.2903225806451613,jl,cone
3737,37,30,1.2333333333333334,cone,cone
3738,16,16,1.0,cone,cone
3739,23,23,1.0,cone,cone
3740,77,45,1.711111111111111,cone,cone
3741,49,42,1.1666666666666667,cone,cone
3742,40,28,1.4285714285714286,cone,cone
3743,22,22,1.0,cone,cone
3744,19,18,1.0555555555555556,cone,cone
3745,21,19,1.105263157894737,cone,cone
3746,3,35,0.08571428571428572,jl,cone
3747,8,13,0.6153846153846154,jl,jl
3748,22,32,0.6875,cone,cone
3749,45,33,1.3636363636363635,cone,cone
3750,26,18,1.4444444444444444,cone,cone
3751,61,61,1.0,lateral,lateral
3752,16,22,0.7272727272727273,cone,cone
3753,3,32,0.09375,jl,cone
3754,46,39,1.1794871794871795,cone,cone
3755,56,52,1.0769230769230769,jl,jl
3756,12,12,1.0,collision,collision
3757,49,40,1.225,cone,cone
3758,39,32,1.21875,jl,cone
3759,19,17,1.1176470588235294,jl,jl
3760,41,22,1.8636363636363635,jl,cone
3761,37,38,0.9736842105263158,lateral,lateral
3762,36,36,1.0,lateral,lateral
3763,75,36,2.0833333333333335,cone,cone
3764,68,34,2.0,cone,cone
3765,100,86,1.1627906976744187,cone,cone
3766,94,31,3.032258064516129,cone,cone
3767,24,20,1.2,cone,cone
3768,94,41,2.292682926829268,jl,cone
3769,105,29,3.6206896551724137,jl,cone
3770,48,43,1.1162790697674418,lateral,cone
3771,17,17,1.0,cone,cone
3772,51,37,1.3783783783783783,cone,cone
3773,39,39,1.0,jl,cone
3774,45,33,1.3636363636363635,cone,cone
3775,43,39,1.1025641025641026,lateral,cone
3776,24,24,1.0,cone,cone
3777,33,33,1.0,cone,cone
3778,27,23,1.173913043478261,collision,cone
3779,46,30,1.5333333333333334,cone,cone
3780,66,46,1.434782608695652,cone,cone
3781,23,21,1.0952380952380953,cone,cone
3782,106,40,2.65,cone,cone
3783,16,16,1.0,lateral,lateral
3784,27,32,0.84375,jl,jl
3785,27,30,0.9,cone,cone
3786,25,45,0.5555555555555556,jl,cone
3787,50,34,1.4705882352941178,cone,cone
3788,58,33,1.7575757575757576,cone,cone
3789,48,53,0.9056603773584906,cone,cone
3790,60,36,1.6666666666666667,cone,cone
3791,56,48,1.1666666666666667,jl,cone
3792,21,35,0.6,cone,cone
3793,20,50,0.4,jl,cone
3794,50,50,1.0,lateral,lateral
3795,24,92,0.2608695652173913,jl,cone
3796,31,34,0.9117647058823529,cone,cone
3797,51,50,1.02,cone,cone
3798,1,34,0.029411764705882353,jl,cone
