epoch,train_loss,val_loss,sample_dist,sample_div,wall
1,0.6541016857451214,0.5740202933690207,2.139812151590983,2.120173613230387,493.41159323300235
2,0.550593627487939,0.5356792793488556,2.099095900853475,2.069642702738444,992.6548815711867
3,0.5290041806175705,0.5249552330781069,2.109750588734945,2.073303699493408,1493.0320059191436
4,0.5188422397799751,0.5188067692393585,2.103482484817505,2.0596605141957602,1991.6930305541027
5,0.5128757996078263,0.5109691939705844,2.124997615814209,2.1055333614349365,2490.280732650077
6,0.5090785256450119,0.5073533203447818,2.1101109186808267,2.063945452372233,2988.8303091111593
7,0.5062726122184562,0.5044143416546296,2.1068398157755532,2.0921104749043784,3487.8339600102045
8,0.5040339023436906,0.5032126544919554,2.0986791451772056,2.10160231590271,3988.5917134471238
9,0.5024237093786903,0.501688415684683,2.102285703023275,2.0835622946421304,4487.267290578224
10,0.5011537872688715,0.5005077407484567,2.097571531931559,2.0814733505249023,4990.731582493056
11,0.4999344771145947,0.5020346698493461,2.1055102348327637,2.0660995642344155,5488.394458080176
12,0.49898126707078494,0.5000393406438794,2.104363759358724,2.0933303038279214,5988.085068029119
13,0.49834448601535564,0.49819922925244203,2.095820109049479,2.092674811681112,6489.475555733079
14,0.49751189563111553,0.497187992077751,2.100961526234945,2.0631832281748452,6990.207447618013
15,0.4969417064240153,0.497038341551094,2.102505604426066,2.0835622946421304,7483.07519545313
16,0.4963369825451009,0.4965436260670333,2.1060024897257485,2.089608828226725,7983.339788177051
17,0.49592315188572167,0.49682774476549335,2.107301394144694,2.0724545319875083,8486.880537433084
18,0.4953729758869069,0.49587703720312637,2.1090729236602783,2.0703388849894204,8987.464196971152
19,0.49502780375316136,0.495563875550386,2.0977795918782554,2.0687690575917563,9483.429720842047
20,0.49455044391855224,0.49664920412924496,2.1006133556365967,2.0591653188069663,9979.857162844157
21,0.49417631980918403,0.49484972600375715,2.1215766270955405,2.0918076833089194,10477.045020704158
22,0.49403357520658686,0.494880310927047,2.0918128490448,2.0761451721191406,10974.069958574139
23,0.49370122117598886,0.4940201353685218,2.1029679775238037,2.0865326722462973,11466.690875543049
24,0.4933872866428996,0.49341687095037184,2.110434611638387,2.090128183364868,11969.989044241142
25,0.49302577158786737,0.4941820895441636,2.088749726613363,2.0880125363667807,12472.040250744205
26,0.49296466910371467,0.4934469490207703,2.1049784819285073,2.0661214192708335,12971.768289752072
27,0.4928293993973772,0.49294336378140524,2.1115521589914956,2.066190242767334,13469.418866099091
28,0.492709854085908,0.4924478045930612,2.0888325373331704,2.07086181640625,13972.933380736038
29,0.4922597619553252,0.4927050066687009,2.0810278256734214,2.0629525184631348,14474.368971544085
30,0.49218327613278284,0.49237021729967956,2.1102864742279053,2.090363343556722,14969.252102806
