iter,mean_real_R,mean_chosen_real_R,mean_unif_oracle_R,mean_phantom_R,res_loss,res_mae,pi_loss,alpha,entropy,frac_chosen_eq_phantom_argmax,wall
1,0.17168182134628296,0.2397608458995819,0.3593404293060303,0.389631450176239,0.08957401663064957,0.253057062625885,2.562629222869873,0.05001499876379967,2.7058212757110596,0.46875,3.7801201343536377
10,0.14541511237621307,0.16319161653518677,0.31477439403533936,0.3796073794364929,0.09527085721492767,0.250430703163147,2.5361883640289307,0.050150204449892044,2.6562283039093018,0.3125,37.74809956550598
20,0.172354593873024,0.23606117069721222,0.35307401418685913,0.3571352958679199,0.09036500751972198,0.23593419790267944,2.4028635025024414,0.05030044913291931,2.563303232192993,0.453125,74.32237696647644
30,0.14393742382526398,0.17140497267246246,0.2610350549221039,0.3337010443210602,0.068790003657341,0.1997561901807785,2.3334412574768066,0.05045080557465553,2.4842896461486816,0.359375,111.14292645454407
40,0.1490456461906433,0.1936805248260498,0.2990596890449524,0.3635104298591614,0.08921156823635101,0.23020559549331665,2.4025204181671143,0.05060133710503578,2.454137086868286,0.421875,145.89086532592773
50,0.12813711166381836,0.22035548090934753,0.26567426323890686,0.30114656686782837,0.058742161840200424,0.1795574575662613,2.5437703132629395,0.05075271800160408,2.656266689300537,0.375,181.783264875412
60,0.2070610672235489,0.27110543847084045,0.42411214113235474,0.42240920662879944,0.09293201565742493,0.23412874341011047,2.502483606338501,0.050905752927064896,2.675894260406494,0.40625,218.47611784934998
70,0.12839558720588684,0.19095730781555176,0.2704427242279053,0.3409581780433655,0.08868236839771271,0.2385219931602478,2.4720468521118164,0.051059696823358536,2.6063194274902344,0.453125,255.35104393959045
80,0.15361103415489197,0.19513219594955444,0.305966854095459,0.42189735174179077,0.10371175408363342,0.26118797063827515,2.085386037826538,0.05121308192610741,2.2798938751220703,0.484375,291.84591007232666
90,0.1300283819437027,0.15233877301216125,0.24485191702842712,0.2828306555747986,0.061934471130371094,0.18784047663211823,1.3406996726989746,0.05136275291442871,1.747473955154419,0.40625,328.1096773147583
