task_id,T_rl,T_base,ratio_rl_base,term_rl,term_base
921,78,42,1.8571428571428572,jl,jl
922,63,21,3.0,lateral,cone
923,40,29,1.3793103448275863,cone,cone
924,32,32,1.0,jl,cone
925,38,33,1.1515151515151516,lateral,cone
926,10,6,1.6666666666666667,jl,jl
927,97,67,1.4477611940298507,jl,cone
928,30,14,2.142857142857143,jl,cone
929,29,27,1.0740740740740742,lateral,cone
930,69,21,3.2857142857142856,cone,jl
931,12,10,1.2,jl,jl
932,30,20,1.5,cone,cone
933,24,21,1.1428571428571428,cone,cone
934,6,15,0.4,jl,cone
935,26,9,2.888888888888889,cone,jl
936,14,10,1.4,jl,jl
937,41,3,13.666666666666666,cone,jl
938,48,10,4.8,cone,jl
939,22,15,1.4666666666666666,cone,jl
940,19,5,3.8,cone,jl
941,58,26,2.230769230769231,cone,cone
942,19,6,3.1666666666666665,jl,jl
943,34,32,1.0625,cone,cone
944,17,18,0.9444444444444444,jl,jl
945,48,19,2.526315789473684,cone,jl
946,61,24,2.5416666666666665,cone,jl
947,66,18,3.6666666666666665,cone,jl
948,62,34,1.8235294117647058,cone,cone
949,31,8,3.875,cone,jl
950,54,42,1.2857142857142858,cone,cone
951,132,14,9.428571428571429,cone,cone
952,101,12,8.416666666666666,cone,jl
953,22,10,2.2,cone,jl
954,98,12,8.166666666666666,cone,jl
955,20,2,10.0,cone,jl
956,18,8,2.25,cone,jl
957,28,15,1.8666666666666667,cone,cone
958,52,10,5.2,lateral,jl
959,81,24,3.375,cone,cone
960,54,16,3.375,jl,jl
961,11,8,1.375,jl,jl
962,20,20,1.0,cone,cone
963,26,10,2.6,jl,jl
964,31,19,1.631578947368421,cone,cone
965,65,3,21.666666666666668,lateral,jl
966,47,20,2.35,cone,cone
967,26,6,4.333333333333333,cone,jl
968,104,18,5.777777777777778,cone,cone
969,1,2,0.5,jl,jl
970,19,16,1.1875,cone,jl
971,24,22,1.0909090909090908,lateral,cone
972,24,8,3.0,jl,jl
973,63,4,15.75,cone,jl
974,59,11,5.363636363636363,cone,jl
975,19,16,1.1875,cone,cone
976,22,10,2.2,jl,jl
977,30,11,2.727272727272727,cone,jl
978,48,34,1.411764705882353,cone,cone
979,35,9,3.888888888888889,cone,jl
980,19,10,1.9,jl,jl
981,19,17,1.1176470588235294,cone,cone
982,77,28,2.75,cone,cone
983,42,18,2.3333333333333335,lateral,jl
984,21,19,1.105263157894737,cone,cone
985,16,10,1.6,jl,jl
986,16,16,1.0,cone,cone
987,26,20,1.3,cone,jl
988,22,23,0.9565217391304348,cone,cone
989,40,36,1.1111111111111112,cone,cone
990,70,11,6.363636363636363,cone,jl
991,75,13,5.769230769230769,jl,jl
992,8,3,2.6666666666666665,jl,jl
993,68,11,6.181818181818182,cone,jl
994,31,28,1.1071428571428572,cone,cone
995,32,26,1.2307692307692308,jl,cone
996,15,16,0.9375,collision,collision
997,14,13,1.0769230769230769,cone,cone
998,80,3,26.666666666666668,cone,jl
999,41,51,0.803921568627451,cone,lateral
